# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	117005
#@/user_id	659ce483-6874-4023-8d26-0ead44d09818
a 	啊	c=626 d=2.12741 t=116984
a 	阿	c=3 d=0.00814786 t=116978
a a a 	啊啊啊	c=1 d=2.48163e-46 t=116978
a a a a 	啊啊啊啊	c=0 d=6.41786e-49 t=116978
a a a a a 	啊啊啊啊啊	c=2 d=6.45003e-48 t=116978
a bu shi 	啊不是	c=1 d=1.30189e-133 t=116978
a dou 	阿斗	c=0 d=6.2445e-21 t=116978
a er bei si 	阿爾卑斯	c=1 d=0.000338834 t=116978
a fu han 	阿富汗	c=1 d=2.41534e-51 t=116978
a ha 	啊哈	c=3 d=2.95161e-57 t=116978
a ha ha ha 	啊哈哈哈	c=1 d=4.1325e-75 t=116978
a hou hou hou 	啊吼吼吼	c=1 d=1.73792e-61 t=116978
a li 	阿里	c=6 d=4.0596e-05 t=116978
a li yun 	阿里雲	c=1 d=2.55304e-115 t=116978
a qi shi 	啊其實	c=1 d=1.57565e-143 t=116978
a zhe 	阿者	c=1 d=9.43499e-52 t=116978
ai 	哎	c=3 d=7.437e-76 t=116978
ai 	唉	c=135 d=0.160384 t=116978
ai 	愛	c=16 d=0.000165327 t=116978
ai fei er 	唉菲爾	c=1 d=7.10272e-35 t=116978
ai fou 	愛否	c=3 d=7.50229e-53 t=116978
ai hao 	愛好	c=1 d=1.87865e-124 t=116978
ai hu 	愛護	c=2 d=5.51651e-144 t=116978
ai ji 	埃及	c=1 d=4.81324e-163 t=116978
ai le 	愛了	c=2 d=6.20999e-43 t=116978
ai mei 	曖昧	c=3 d=1.54274e-165 t=116978
ai ni 	愛你	c=4 d=4.51644e-32 t=116978
ai nin 	愛您	c=2 d=1.55721e-34 t=116978
ai qi yi 	唉奇異	c=2 d=4.07748e-35 t=116978
ai qing 	愛情	c=2 d=4.04597e-83 t=116978
ai qing pian 	愛情片	c=2 d=3.53503e-32 t=116978
ai ren 	愛人	c=0 d=1.0841e-98 t=116978
ai ta 	愛他	c=0 d=3.02478e-52 t=116978
ai ta ta chu 	愛他他處	c=1 d=2.02283e-141 t=116978
ai ta ti en ti ou niao 	愛他梯恩梯鷗鳥	c=1 d=3.03995e-51 t=116978
ai xin 	愛心	c=1 d=3.53612e-65 t=116978
ai ya 	哎呀	c=3 d=0.0170774 t=116978
ai yue 	愛樂	c=0 d=3.58846e-33 t=116978
ai yue zhi cheng 	愛樂之城	c=1 d=3.60645e-32 t=116978
an 	俺	c=1 d=2.33847e-141 t=116978
an 	安	c=3 d=3.25372e-27 t=116978
an 	按	c=47 d=7.06753e-06 t=116978
an 	暗	c=1 d=5.7652e-51 t=116978
an 	案	c=1 d=7.35596e-06 t=116978
an dao li 	按道理	c=1 d=1.29104e-64 t=116978
an deng 	安燈	c=1 d=5.00504e-64 t=116978
an dou 	暗鬥	c=1 d=0.113608 t=116978
an fang 	安防	c=1 d=7.14371e-132 t=116978
an hui 	安徽	c=2 d=4.39521e-86 t=116978
an ji suan 	氨基酸	c=1 d=3.51968e-69 t=116978
an jie 	按揭	c=1 d=4.10084e-14 t=116978
an jing 	安靜	c=1 d=1.6341e-101 t=116978
an kao 	按考	c=1 d=2.83319e-134 t=116978
an le 	按了	c=1 d=1.0242e-46 t=116978
an li 	案例	c=2 d=7.96997e-08 t=116978
an li shuo 	按理說	c=1 d=3.68745e-58 t=116978
an li zhong 	案例中	c=1 d=4.75543e-21 t=116978
